,date,admits
200,9/4/20,18
201,9/5/20,19
202,9/6/20,19
203,9/7/20,18
204,9/8/20,18
205,9/9/20,17
206,9/10/20,17
207,9/11/20,17
208,9/12/20,15
209,9/13/20,15
210,9/14/20,14
211,9/15/20,14
212,9/16/20,13
213,9/17/20,14
214,9/18/20,12
215,9/19/20,13
216,9/20/20,14
217,9/21/20,15
218,9/22/20,16
219,9/23/20,16
220,9/24/20,15
221,9/25/20,16
222,9/26/20,16
223,9/27/20,13
224,9/28/20,12
225,9/29/20,13
226,9/30/20,12
227,10/1/20,12
228,10/2/20,12
229,10/3/20,12
230,10/4/20,13
231,10/5/20,14
232,10/6/20,13
233,10/7/20,13
234,10/8/20,15
235,10/9/20,14
236,10/10/20,14
237,10/11/20,15
238,10/12/20,14
239,10/13/20,14
240,10/14/20,16
241,10/15/20,15
242,10/16/20,16
243,10/17/20,17
244,10/18/20,18
245,10/19/20,20
246,10/20/20,22
247,10/21/20,22
248,10/22/20,22
249,10/23/20,22
250,10/24/20,22
251,10/25/20,21
252,10/26/20,19
253,10/27/20,19
254,10/28/20,17
255,10/29/20,18
256,10/30/20,17
257,10/31/20,17
258,11/1/20,19
259,11/2/20,20
260,11/3/20,20
261,11/4/20,22
262,11/5/20,22
263,11/6/20,25
264,11/7/20,25
265,11/8/20,26
266,11/9/20,26
267,11/10/20,27
268,11/11/20,28
269,11/12/20,28
270,11/13/20,29
271,11/14/20,30
272,11/15/20,30
273,11/16/20,32
274,11/17/20,32
275,11/18/20,34
276,11/19/20,35
277,11/20/20,33
278,11/21/20,33
279,11/22/20,35
280,11/23/20,38
281,11/24/20,37
282,11/25/20,33
283,11/26/20,33
284,11/27/20,33
285,11/28/20,32
286,11/29/20,32
287,11/30/20,30
288,12/1/20,30
